Id,CopyId,UTC,UTCMilliseconds,PCLocalTime,PCTime,EventEnd,eventType,nClicks,minNumber,bestNumber,maxNumber,colour,comment,channels,TMModelName1,TMLatitude1,TMLongitude1,BeamLatitude1,BeamLongitude1,BeamTime1,TMSide1,TMChi21,TMAIC1,TMProbability1,TMDegsFreedom1,TMPerpendicularDistance1,TMPerpendicularDistanceError1,TMDepth1,TMDepthError1,TMHydrophones1,TMError1,TMComment1,TMLatitude2,TMLongitude2,BeamLatitude2,BeamLongitude2,BeamTime2,TMSide2,TMChi22,TMAIC2,TMProbability2,TMDegsFreedom2,TMPerpendicularDistance2,TMPerpendicularDistanceError2,TMDepth2,TMDepthError2,TMHydrophones2,TMError2,TMComment2,UID,ChannelBitmap,SequenceBitmap
1,,2018-05-28 21:10:13.935,935,2018-05-28 22:10:13.935,2019-12-04 15:56:50.043,2018-05-28 21:11:43.489,DLP         ,288,6,8,10,1,Test                                                                            ,3,Least squares                 ,36.49955776163592,-8.658933396350157,36.50021666666667,-8.659266666666667,1527541692320,0,0.9419197904804516,273.38906007740917,,,79.03806582453055,0.9012,0,,0,"{""NAME"":""SimpleError"",""PERP"":9.012E-1,""PARR"":3.701E-1,""ANGLE"":5.828E0}                                                          ",,36.50147643463982,-8.66016104090481,36.50021666666667,-8.659266666666667,1527541692320,1,7.587981701216862,2174.162766548023,,,161.17731029848406,2.258,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.258E0,""PARR"":7.232E-1,""ANGLE"":5.828E0}                                                           ",,1,3,
2,,2018-05-28 21:13:03.243,243,2018-05-28 22:13:03.243,2019-12-04 15:56:50.057,2018-05-28 21:14:12.486,DLP         ,125,,,,2,Test                                                                            ,3,Least squares                 ,36.49607400685967,-8.662884979423659,36.49713333333333,-8.663716666666666,1527541871600,0,5.329431169861105,659.520033892916,,,139.1966364883059,3.357,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.357E0,""PARR"":7.719E-1,""ANGLE"":5.74E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,2,3,
3,,2018-05-29 22:03:15.788,788,2018-05-30 00:03:15.788,2021-08-03 13:35:44.433,2018-05-29 22:09:09.104,SWC         ,245,1,1,1,3,,3,Least squares                 ,34.058257302518136,-8.420557625816022,34.058933333333336,-8.416533333333334,1527631364650,0,13.342235326717127,3246.163184392262,,,378.0119456954345,5.822,0,,0,"{""NAME"":""SimpleError"",""PERP"":5.822E0,""PARR"":2.306E0,""ANGLE"":4.538E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,3,3,
4,,2018-05-29 22:03:52.088,88,2018-05-30 00:03:52.088,2021-08-03 13:35:44.437,2018-05-29 22:20:23.588,SWC         ,374,1,1,1,4,,3,Least squares                 ,34.0239756044693,-8.452519486290685,34.0258,-8.403,1527632869370,0,6.758232965097684,977.1855469740665,,,4565.033178366469,215.4,0,,0,"{""NAME"":""SimpleError"",""PERP"":2.154E2,""PARR"":1.047E2,""ANGLE"":4.415E0}                                                            ",,34.04939567315958,-8.366696536984858,34.03798333333334,-8.404016666666667,1527632454910,1,9.567968688577363,1381.7874911551403,,,3662.7941340908765,163,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.63E2,""PARR"":7.535E1,""ANGLE"":4.415E0}                                                             ",,4,3,
5,,2018-05-29 22:10:28.865,865,2018-05-30 00:10:28.865,2021-08-03 13:35:44.437,2018-05-29 22:14:34.818,SWC         ,115,1,1,1,5,,3,Least squares                 ,34.063791445872404,-8.431209103772023,34.06965,-8.422816666666666,1527630945690,0,3.707597116740992,422.9584741917321,,,1010.2476959071178,309.4,0,,0,"{""NAME"":""SimpleError"",""PERP"":3.094E2,""PARR"":5.266E2,""ANGLE"":4.311E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,5,3,
6,,2018-05-29 22:10:19.000,0,2018-05-30 00:10:19.000,2021-08-03 13:35:44.437,2018-05-29 22:15:19.505,SWC         ,87,1,1,1,6,,3,Least squares                 ,34.05901157980292,-8.427225563289957,34.06151666666667,-8.417533333333333,1527631270540,0,5.831744261367106,499.69826221620406,,,934.6547229956695,127.2,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.272E2,""PARR"":1.021E2,""ANGLE"":4.485E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,6,3,
8,,2018-05-29 22:15:17.535,535,2018-05-30 00:15:17.535,2021-08-03 13:35:44.437,2018-05-29 22:27:33.314,SWB         ,297,1,1,1,8,,3,Least squares                 ,34.04243170816657,-8.398808495891068,34.04063333333333,-8.4056,1527632358550,0,11.853948552343262,3500.914822941262,,,656.4990199191442,6.404,0,,0,"{""NAME"":""SimpleError"",""PERP"":6.404E0,""PARR"":5.517E0,""ANGLE"":4.363E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,8,3,
9,,2018-05-29 22:35:52.457,457,2018-05-30 00:35:52.457,2021-08-03 13:35:44.437,2018-05-29 22:40:14.019,SWB         ,44,1,1,1,9,Unsure                                                                          ,3,Least squares                 ,34.01829927757767,-8.410116895101584,34.0193,-8.4025,1527633091360,0,2.5798494666028042,112.35367759731778,,,710.2917892052017,41.55,0,,0,"{""NAME"":""SimpleError"",""PERP"":4.155E1,""PARR"":5.352E1,""ANGLE"":4.328E0}                                                            ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,9,3,
10,,2018-05-29 22:36:57.076,76,2018-05-30 00:36:57.076,2021-08-03 13:35:44.437,2018-05-29 22:44:36.146,SWB         ,74,1,2,13,10,Unsure                                                                          ,3,Least squares                 ,34.01681783825292,-8.422932867318114,34.01623333333333,-8.402433333333333,1527633196610,0,3.1985296990706575,234.29413833308735,,,1889.220828376111,84.9,0,,0,"{""NAME"":""SimpleError"",""PERP"":8.49E1,""PARR"":7.481E1,""ANGLE"":4.311E0}                                                             ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,10,3,
11,,2018-05-29 22:36:39.719,719,2018-05-30 00:36:39.719,2021-08-03 13:35:44.438,2018-05-29 22:45:29.413,SWB         ,112,2,2,3,11,Unsure                                                                          ,3,Least squares                 ,34.01473678664134,-8.431021171514782,34.01593333333334,-8.402416666666667,1527633206900,0,8.01005537768365,885.1060915452015,,,2637.9999764794097,121.3,0,,0,"{""NAME"":""SimpleError"",""PERP"":1.213E2,""PARR"":7.853E1,""ANGLE"":4.32E0}                                                             ",Unsupervised model selection                                                    ,,,,,,,,,,,,,,,,,,11,3,
