Id,Clickstart,UTCMilliseconds,PCLocalTime,PCTime,EventId,BinaryFile,ClickNo,Amplitude,UID,parentID,parentUID
177015,2018-06-01 01:14:38,928,14:37.9,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,493,75.71830744,148000494,462,920
177016,2018-06-01 01:14:38,192,14:38.2,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,494,77.74889224,148000495,462,920
177017,2018-06-01 01:14:38,366,14:38.4,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,495,74.55155701,148000496,462,920
177018,2018-06-01 01:14:39,532,14:38.5,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,496,77.3848388,148000497,462,920
177019,2018-06-01 01:14:39,708,14:38.7,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,497,77.90914213,148000498,462,920
177020,2018-06-01 01:14:39,882,14:38.9,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,498,76.23466664,148000499,462,920
177021,2018-06-01 01:14:39,63,14:39.1,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,499,78.04635825,148000500,462,920
177022,2018-06-01 01:14:39,246,14:39.2,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,500,78.46984921,148000501,462,920
177023,2018-06-01 01:14:40,510,14:39.5,44:54.6,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,501,74.2026916,148000502,462,920
177024,2018-06-01 01:14:42,268,14:42.3,46:15.5,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,502,74.61487485,148000503,462,920
177025,2018-06-01 01:14:43,545,14:42.5,46:15.5,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,503,76.42489211,148000504,462,920
177026,2018-06-01 01:14:43,700,14:42.7,46:15.5,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,504,77.01962448,148000505,462,920
177027,2018-06-01 01:14:43,886,14:42.9,46:15.5,462,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_010000.pgdf           ,505,74.72052073,148000506,462,920
177028,2018-06-01 02:17:51,93,17:51.1,47:22.3,463,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,91,75.72189448,149000092,463,921
177029,2018-06-01 02:17:52,645,17:51.6,47:22.3,463,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,92,75.86581764,149000093,463,921
177030,2018-06-01 02:17:52,758,17:51.8,47:22.3,463,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,93,78.43069113,149000094,463,921
177031,2018-06-01 02:17:52,870,17:51.9,47:22.3,463,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,94,76.31539483,149000095,463,921
177032,2018-06-01 02:17:52,77,17:52.1,47:22.3,463,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,95,76.93027141,149000096,463,921
177033,2018-06-01 02:17:54,223,17:54.2,49:29.4,463,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,100,75.20576621,149000101,463,921
177034,2018-06-01 02:17:55,590,17:54.6,49:29.4,463,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,101,73.19898977,149000102,463,921
177035,2018-06-01 02:38:50,662,38:49.7,49:29.4,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,199,80.23476827,149000200,464,922
177036,2018-06-01 02:38:50,65,38:50.1,49:29.4,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,200,78.97866139,149000201,464,922
177037,2018-06-01 02:38:51,585,38:50.6,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,201,76.79952924,149000202,464,922
177038,2018-06-01 02:38:51,954,38:51.0,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,202,80.38985353,149000203,464,922
177039,2018-06-01 02:38:51,404,38:51.4,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,203,80.18198735,149000204,464,922
177040,2018-06-01 02:38:52,536,38:51.5,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,204,72.26309042,149000205,464,922
177041,2018-06-01 02:38:52,711,38:51.7,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,205,79.27221856,149000206,464,922
177042,2018-06-01 02:38:52,835,38:51.8,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,206,78.24573262,149000207,464,922
177043,2018-06-01 02:38:52,433,38:52.4,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,211,74.42368709,149000212,464,922
177044,2018-06-01 02:38:53,591,38:52.6,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,212,75.98432211,149000213,464,922
177045,2018-06-01 02:38:53,171,38:53.2,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,214,77.60182037,149000215,464,922
177046,2018-06-01 02:38:53,327,38:53.3,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,215,79.84077938,149000216,464,922
177047,2018-06-01 02:38:54,600,38:53.6,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,217,77.24086391,149000218,464,922
177048,2018-06-01 02:38:54,768,38:53.8,52:34.8,464,Click_Detector_Sperm_whale_click_detector_Clicks_20180601_020000.pgdf           ,218,79.73578709,149000219,464,922
